state,city,bedrooms,bathrooms,num_of_property,market_size,avg_price,min_price,max_price,avg_size,min_size,max_size,avg_lot,min_lot,max_lot
Massachusetts,Wareham,3,2,5,2678900,535780,210000,1200000,129.71599513187599,119.56632818959672,148.08758907087579,0.07689034,0.03642174,0.15378068
New York,Staten Island,6,5,5,6736899,1347379.8,939000,2199900,291.02834474493449,232.25782476611639,464.51564953223277,0.066368504,0.03642174,0.12949952
Delaware,New Castle,3,3,5,1779680,355936,269900,479990,170.84885589795522,111.48375588773587,222.03848047640727,0.042896715999999994,0.03237488,0.0607029
Puerto Rico,Ponce,4,2,5,1335000,267000,131000,499000,208.27023662427189,135.63856966341197,276.01519895205269,0.03642174,0.02428116,0.04856232
Puerto Rico,Juana Diaz,3,1,5,481900,96380,55000,125000,82.2006893412239,69.67734742983491,100.33538029896228,0.045324832,0.028328020000000002,0.06879662
Puerto Rico,Caguas,4,2,5,659000,131800,90000,161000,261.262181922909,102.1934428970912,852.85073254117935,0.080127828,0.00809372,0.1618744
New Jersey,Belleville,3,2,5,1906898,381379.6,229999,519000,149.75984540919185,149.75984540919185,149.75984540919185,0.053418552,0.02428116,0.10521836
Connecticut,Madison,4,4,5,8113000,1622600,795000,2750000,331.01385185666908,264.03069519412111,377.00090116036012,2.6474558120000005,0.03642174,12.41576648
Puerto Rico,Barceloneta,3,2,5,563700,112740,49900,174900,100.70699281858806,88.722489060656457,111.01924023820364,0.053418552000000008,0.03237488,0.10926522000000001
Puerto Rico,Mayaguez,4,2,5,533955,106791,59000,150000,113.10027034810804,52.304462137329409,205.68752961287265,0.030756136000000003,0.01618744,0.04856232
Puerto Rico,Guayama,4,2,5,494500,98900,75000,125000,111.39085275782941,79.153466680292468,145.30049517368241,0.0404686,0.03237488,0.04856232
New York,Staten Island,6,2,5,4228830,845766,699000,979931,217.64880758832766,187.19980676148981,258.27070113992141,0.0404686,0.02428116,0.0607029
Puerto Rico,Carolina,0,0,5,10043000,2008600,113000,5000000,749.72825834502373,234.3016936240582,1672.256338316038,0.134355752,0.03642174,0.29946764
Connecticut,New Haven,0,0,5,2899899,579979.8,160000,1900000,257.89908862029563,121.79600330735143,571.725861444272,0.089840292,0.03642174,0.23876473999999998
New York,Staten Island,5,3,5,4853000,970600,825000,1100000,224.45396185397487,203.45785449511794,270.90552680719816,0.039659228,0.03642174,0.0404686
New Jersey,Elizabeth City,6,4,5,2926900,585380,539000,615000,,,,0.038849855999999995,0.02428116,0.07284348
New Jersey,Old Bridge,3,2,5,2224000,444800,399000,490000,137.21792287182154,127.55599736155112,142.04888562695677,0.059084156,0.028328020000000002,0.07284348
Massachusetts,South Yarmouth,3,2,5,3998800,799760,480000,1400000,127.0543204600563,89.187004710188688,167.2256338316038,0.13759323999999998,0.07284348,0.29137392
Rhode Island,Woonsocket,3,1,5,1337300,267460,177500,339900,95.9317719413967,86.0282982933695,109.25408076998114,0.080127828000000012,0.06879662,0.10926522000000001
Connecticut,New Haven,3,3,5,2256900,451380,288000,810000,206.59798028595583,124.86180659426417,246.65780990161559,0.095505895999999993,0.056656040000000005,0.14973382
New Jersey,Pennsville,4,2,5,1110900,222180,168000,259900,159.06873902581782,139.35469485966982,184.31980973438996,0.092268408,0.07284348,0.13759324
Massachusetts,Newton,3,2,5,5691000,1138200,889000,1299000,162.15312293871182,139.35469485966982,172.14949971664547,0.063131016,0.04451546,0.0809372
Connecticut,Torrington,3,1,5,815900,163180,126500,220000,111.2422077499791,90.487648528878935,143.62823883536637,0.093887152,0.04451546,0.17806184
Puerto Rico,Toa Alta,3,1,5,497900,99580,70000,149900,113.36039911184608,69.67734742983491,194.35334776428618,0.082555943999999992,0.03237488,0.17806184
Vermont,South Burlington,3,3,5,3321366,664273.2,569250,709810,233.05679168331181,166.66821505216512,314.01257908378932,0.072034108000000013,0.028328020000000002,0.13759324
Connecticut,Hartford,0,0,5,1180800,236160,79900,425000,306.33878055351687,116.12891238305819,708.20055927684211,0.079318456,0.04451546,0.1214058
New Jersey,Washington Township,3,2,5,2193900,438780,290000,649900,127.92760988117691,113.1560122260519,142.69920753630191,0.76161905199999991,0.14568696,1.4851976199999999
Connecticut,Seymour,3,2,5,1468800,293760,239900,345000,130.41741376266967,106.83859939241353,155.14822694376574,0.123833916,0.09307778,0.14568696
New Jersey,Parsippany Troy Hills Township,4,3,5,3303800,660760,499000,850000,182.09013461663523,167.2256338316038,196.95463540166668,0.154590052,0.12949952,0.21853044000000002
New York,Whitehall,3,2,5,1174400,234880,47000,449500,158.75286838413584,129.3211568297736,200.94946998764388,3.9254542,0.0607029,11.10053698
